strain	originating_lab	submitting_lab
A/Johannesburg/15/2008	National Institute for Communicable Disease	National Institute for Medical Research
A/Victoria/210/2009	Victorian Infectious Diseases Reference Laboratory	WHO Collaborating Centre for Reference and Research on Influenza
A/Wisconsin/15/2009		
A/Perth/16/2009	Pathwest QE II Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Perth/16/2009-egg	Pathwest QE II Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/208/2009	Victorian Infectious Diseases Reference Laboratory	WHO Collaborating Centre for Reference and Research on Influenza
A/Perth/10/2010	Pathwest QE II Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
A/Iowa/19/2010	Iowa State Hygienic Laboratory	Centers for Disease Control and Prevention
A/Alaska/5/2010	Alaska State Virology Lab	Centers for Disease Control and Prevention
A/Stockholm/18/2011		Public Health Agency of Sweden
A/Southauckland/7/2012	Institute of Environmental Science and Research (ESR)	WHO Collaborating Centre for Reference and Research on Influenza
A/Victoria/361/2011	Erasmus Medical Center	Erasmus Medical Center
A/Victoria/361/2011-egg	Royal Melbourne Hospital	WHO Collaborating Centre for Reference and Research on Influenza
A/Zhejiang-Nanxun/1614/2014	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Zhejiang-Wuxin/130/2015	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
A/Hawaii/22/2012	State of Hawaii Department of Health	Centers for Disease Control and Prevention
A/Texas/50/2012	Erasmus Medical Center	Erasmus Medical Center
A/Texas/50/2012-egg	St Jude Children's Research Hospital	St. Jude Children's Research Hospital
A/Christchurch/516/2012	Canterbury Health Services	WHO Collaborating Centre for Reference and Research on Influenza
A/Tehran/81951/2014		
A/Vietnam/210/2014	National Institute of Hygiene and Epidemiology	Centers for Disease Control and Prevention
A/Uruguay/180/2014	Departamento de Laboratorio de Salud Pública (DLSP)	Centers for Disease Control and Prevention
A/NorthernIreland/43860188/2014	UK Health Security Agency - Colindale	UK Health Security Agency - Colindale
A/Paraguay/3144/2014	Central Laboratory of Public Health	Centers for Disease Control and Prevention
A/Santiago/70123/2014	Instituto de Salud Publica de Chile	Instituto de Salud Publica de Chile
A/Tocantins/18288/2015	Instituto Adolfo Lutz	Instituto Adolfo Lutz
A/Wellington/24/2014	Institute of Environmental Science & Research	WHO Collaborating Centre for Reference and Research on Influenza
A/Tocantins/16261/2015	Instituto Adolfo Lutz	Instituto Adolfo Lutz
A/RioGrandedoNorte/130380-IEC/2014		
A/Tehran/79283/2014		
A/Srilanka/42/2014	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Iceland/43/2015	Landspitali - University Hospital	Crick Worldwide Influenza Centre
A/SriLanka/48/2014	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
A/Ukraine/6808/2015	Ministry of Health of Ukraine	Crick Worldwide Influenza Centre
A/Taiwan/775/2015	Center for Disease Control	National Institute of Infectious Diseases (NIID)
A/Taiwan/504/2015	Center for Disease Control	National Institute of Infectious Diseases (NIID)
